"weight","idlist","id","waiting time","duration","total request","priority","completed jobs"
2.0060268481078006E-10,1315,806,7.399997,5.999778017081935,249,1,60
2.595957784415229E-10,1324,1391,1.8000002,4.123372083578897,677,1,7
2.34834148233668E-10,1333,1302,2.6000004,12.494409529541443,14,1,35
2.852904554976182E-10,1342,1362,2.2000003,3.9754450922060562,486,3,19
2.1885590124780957E-10,1351,688,8.999996,4.3817726708102125,989,3,69
2.7460874035982043E-10,1360,1373,2.4000003,6.148071469583792,732,3,7
2.387744201702067E-10,1369,1491,1.2,6.575654151547324,839,2,2
4.077363749971561E-9,1378,1522,1.0,1.566819697914318,48,3,86
2.579446340214142E-10,1387,1315,3.2000005,21.822538507522395,582,3,1
7.817290256572355E-8,1396,1549,1.0,1.3000972002440538,164,3,13
1.5833962365695406E-8,1405,1545,1.0,0.3242029601174853,218,2,48
4.726370829769672E-10,1414,1503,1.6000001,2.1630314470310235,161,1,48
3.43708152382636E-10,1423,1161,4.9999995,8.227787317083791,552,2,11
4.6158805110854605E-10,1432,1485,2.0000002,7.090323003328021,176,3,11
3.707760591662841E-10,1441,1133,5.599999,7.233060110025768,145,1,35
3.4495348408855765E-10,1450,909,7.9999967,25.268964901977586,63,1,12
2.891565063602255E-10,1459,1123,5.7999988,3.3949209445781934,861,3,59
3.672692819686321E-10,1468,1508,2.2000003,2.0806371294391703,751,3,38
3.031850806538159E-10,1477,606,11.199994,19.418952965947657,267,3,16
3.1565988064694784E-10,1485,1238,5.1999993,19.113374850455674,313,2,4
5.49274814010261E-10,1493,1654,1.0,0.7404000608065798,733,1,34
3.691457444787685E-10,1501,1628,1.4000001,4.04544460220554,30,3,89
1.9718617093265153E-8,1510,1676,1.0,2.587631405797495,595,2,2
4.01986460495455E-10,1519,1351,4.4,11.184093795061427,526,3,6
3.5340722518701997E-10,1528,922,8.599997,7.178049728738538,383,3,47
3.90047707318835E-10,1537,1160,6.599998,58.77077530722097,5,2,18
3.790491113109566E-10,1545,1163,6.399998,34.608484282764564,457,2,1
4.0837267783539154E-10,1554,1721,1.0,0.5467792047595162,475,2,87
1.2409004647206955E-9,1563,1733,1.0,2.4727386316895243,929,2,5
5.170938661618467E-10,1572,1706,1.4000001,17.571054771164057,1,2,55
9.257593685021703E-10,1581,1751,1.0,7.241168104904523,661,3,1
4.246707874355682E-9,1590,1765,1.0,9.109470449752944,150,2,1
5.195417082131169E-10,1599,1288,5.7999988,2.1195712648526617,781,2,98
5.365746890918164E-10,1608,1750,1.4000001,3.602390864343117,73,1,30
4.905647963334715E-10,1617,816,10.799994,53.88058407057295,261,1,1
5.368960245784092E-10,1626,1378,5.399999,19.09683220136914,557,2,2
5.20714762862104E-10,1635,952,9.599996,32.80336423414922,19,3,33
5.742204422332943E-10,1644,1497,4.4,2.3322783323535483,491,2,79
4.4072813282250717E-10,1653,583,13.599992,13.364900814360286,451,1,15
5.621539341916988E-10,1662,1671,2.8000004,12.461010987143673,8,1,42
4.447448771617797E-10,1671,1253,6.9999976,5.910581133554911,153,3,95
5.489024382026384E-10,1680,1761,2.0000002,17.474796493742367,305,3,1
4.648804642651606E-10,1689,749,12.199993,35.441377463692845,21,1,25
4.681695077197534E-10,1698,596,13.999991,23.588968814865492,692,2,5
4.67191089049294E-10,1707,1214,7.799997,4.196118420728232,842,1,33
4.833164485837774E-10,1716,483,15.39999,12.213893355208965,158,1,47
4.719068453414418E-10,1725,575,14.399991,10.950085975384695,372,2,35
5.054834648443199E-10,1734,1377,6.599998,3.538227089742709,420,1,60
4.864722062857793E-10,1743,266,17.599995,7.06956879705019,991,2,46
5.678648378020228E-10,1752,1739,3.0000005,34.77705235947782,1,2,40
5.323726201720076E-10,1761,1594,4.6,20.454411578035533,711,2,1
9.850337258634279E-10,1770,1958,1.0,1.627302544119801,314,3,32
1.0160799737418034E-8,1779,1976,1.2,1.3016360581790285,205,2,25
1.571114696202472E-8,1788,1986,1.0,19.12668084183148,1,3,10
7.284164913437631E-10,1797,1442,6.599998,5.750099246590326,66,1,95
6.871433429080699E-10,1806,1587,5.1999993,2.468076892011964,999,1,36
6.996289196792928E-10,1815,1586,5.399999,28.686631205746195,195,2,2
2.108806337776472E-6,1824,2022,1.0,1.596969714712288,13,3,19
7.723731252170248E-10,1833,1782,3.6000006,20.142368838096765,9,3,31
6.899905974487681E-10,1842,1338,8.199997,12.314666951734328,111,1,22
8.195271848362605E-10,1851,1964,2.0000002,14.103102846870916,119,1,2
7.3745149710624E-10,1860,1615,5.599999,55.52465890444221,63,1,1
7.84796252479018E-10,1869,1440,7.599997,2.467558434908308,875,2,85
7.792897813333702E-10,1879,1704,4.7999997,5.628880153581052,331,1,17
1.589222750496623E-9,1897,2093,1.2,3.3994869259049247,16,2,80
8.585973675457069E-10,1906,1687,5.1999993,24.88481933866102,545,3,1
8.767319223914225E-10,1915,1482,7.399997,4.734604132695889,203,3,93
2.127843921310016E-9,1924,2129,1.0,0.1448510720995161,358,1,76
9.115793157940076E-10,1933,1900,3.4000006,5.847410690469387,220,2,17
8.687316220528642E-10,1942,835,14.199991,6.721850059851956,302,3,90
9.169695416511739E-10,1951,966,12.999992,14.704840735653395,139,2,30
9.005693586017708E-10,1960,1337,9.399996,7.285213167778285,141,1,51
8.744436762673705E-10,1969,1098,11.999993,33.22752076097514,4,2,99
2.1486165200396838E-9,1978,2196,1.0,0.35812772976219576,347,3,83
9.831050798535732E-10,1987,1799,4.9999995,22.566936040286258,22,3,18
1.4221503353712319E-9,1996,2211,1.0,4.608403572123542,43,3,22
9.998729188978087E-10,2005,1571,7.599997,2.6136054660204984,726,2,81
9.571774895783453E-10,2014,1593,7.399997,4.170035503980239,447,2,51
1.153902592434981E-9,2023,2157,2.0000002,0.98883670131006,417,1,65
