"weight","queue size","id","waiting time","duration","total request","priority","completed jobs"
1.7046093768315213E-6,8283,7448,91.19975,8.126567262084167,409,3,32
1.7037498712882197E-6,8282,7708,88.59979,57.85277427423057,27,1,67
1.7083131330051975E-6,8281,4227,123.59926,32.102376570127646,170,3,51
1.699259658172826E-6,8280,96,165.19862,59.87241056416997,602,2,3
1.6980284498464513E-6,8279,1875,147.59889,59.181545921960776,62,2,84
1.6963071785080886E-6,8278,3336,132.79912,65.9249134373887,333,3,11
1.7011436231461952E-6,8277,6655,99.79962,6.471338805739444,391,3,45
1.6968600111186806E-6,8276,1392,152.59882,4.7806600775986645,130,1,90
1.7013602925523647E-6,8275,7093,95.599686,34.973918452506005,435,3,9
1.692301391056864E-6,8274,7436,91.99974,15.306062603797104,732,2,4
1.693490428692144E-6,8273,519,161.79868,34.338686482654744,251,3,36
1.6906907685398987E-6,8272,7867,87.799805,2.047468196243859,292,2,78
1.6954655815413374E-6,8271,8611,80.599915,0.9691434594976543,501,1,22
1.6889626015977554E-6,8270,3963,127.1992,54.256115011313035,252,3,19
1.6939523672785412E-6,8269,6176,105.399536,25.950311818248913,237,3,32
1.690340792557836E-6,8268,7003,96.999664,81.92226133545314,27,1,55
1.6962575861420007E-6,8267,8255,84.59985,0.8006207562306394,291,1,59
1.6886187806735097E-6,8266,7326,93.99971,19.105427426960645,999,2,2
1.6928233697231036E-6,8265,5820,109.19948,25.424067746454377,149,2,35
1.6981846423341599E-6,8264,9653,71.00006,3.4875793485892563,258,3,95
1.6922370391734872E-6,8263,716,160.79869,8.259886603830886,976,2,8
1.6979432434132751E-6,8262,8476,82.99988,29.263207373548596,247,2,11
1.6928881931845642E-6,8261,4253,125.39923,20.630106908270506,245,3,44
1.6969126305133599E-6,8260,5615,111.999435,6.043828688819838,427,3,47
1.6936495051382537E-6,8259,5745,110.59946,32.732910037902464,589,3,7
1.698551364219312E-6,8258,9046,77.59996,14.128962939004435,199,3,50
1.6951708019022925E-6,8257,8359,84.59985,52.065827305811254,77,3,74
1.6983634107846282E-6,8256,4832,120.19931,15.52033486407947,60,1,85
1.697622344197245E-6,8255,4009,128.39919,57.54435492974359,116,3,57
1.7013604137994886E-6,8254,3569,132.99911,38.25822273041973,306,3,20
1.6973622318319002E-6,8253,5776,110.99945,16.621603198038855,218,3,55
1.7010664182155337E-6,8252,1072,158.39873,38.26722376935229,162,2,32
1.6994652839759826E-6,8251,7341,95.39969,44.18038595859693,625,2,2
1.6986928772577231E-6,8250,1379,155.59877,14.73454991764392,354,2,22
1.695928284714524E-6,8249,1758,151.79883,58.634660191237494,39,1,67
1.6917355298755221E-6,8248,6666,102.59958,55.14363442118356,137,3,37
1.6852664438485677E-6,8247,929,160.1987,70.37342449182773,94,3,82
1.6838338959289954E-6,8246,2866,140.999,5.1421478427659375,226,2,90
1.6831644230908333E-6,8245,7899,90.399765,60.345661622667116,233,2,7
1.6893288893053822E-6,8244,8223,87.39981,38.47552775947071,52,2,92
1.6856111918371454E-6,8243,9047,78.99994,90.23351485811023,75,1,9
1.6884198314453427E-6,8242,2583,144.19894,87.4623440349094,195,3,21
1.6883237109944885E-6,8241,4267,127.1992,86.02775802463015,106,3,46
1.6837181018275001E-6,8240,220,168.19858,52.00438790409942,113,3,85
1.6814644924334302E-6,8239,1616,154.19879,37.42307101233773,314,3,23
1.6840014022512006E-6,8238,2106,149.39886,8.256331155620924,713,2,12
1.6831136851466974E-6,8237,7767,92.399734,23.024743122122413,143,3,65
1.689861444205261E-6,8236,8577,84.59985,81.69977774916566,150,3,19
1.6852381402382253E-6,8235,546,165.39862,19.063383145394454,616,3,16
1.6879414860076802E-6,8234,9907,71.400055,9.541771265514972,477,2,9
1.6827649701555745E-6,8233,836,162.59866,62.70019937386262,531,3,7
1.6855816672448962E-6,8232,691,164.19864,43.893176710060715,136,3,73
1.6847562520157068E-6,8231,9592,74.8,88.90564390789172,276,1,1
1.6834208116282075E-6,8230,3825,132.79912,10.756766362214131,513,2,14
1.6811567489719999E-6,8229,8579,85.199844,22.270354950184608,144,3,61
1.6842125132319226E-6,8228,1431,157.19875,2.093256658845103,764,2,34
1.6835908386204468E-6,8227,6340,107.7995,0.8531681865490035,250,1,90
1.6904460277774495E-6,8226,9331,77.999954,29.953775724259074,113,3,62
1.68745794710595E-6,8225,9410,77.19997,14.451909622963871,211,3,45
1.688353164451683E-6,8224,4388,127.799194,33.43097644505142,798,3,5
1.6882462976837285E-6,8223,2625,145.59892,83.94267366972335,75,3,89
1.6923854875014442E-6,8222,6716,104.799545,14.048079573107733,532,3,16
1.6899252627083557E-6,8221,6864,103.19957,21.123204482162347,52,1,70
1.696754345765088E-6,8220,9796,74.000015,58.330506803068076,102,3,39
1.6924690576059146E-6,8219,7712,94.7997,1.394502844136114,504,3,96
1.6911355589040226E-6,8218,5178,120.39931,15.711417463419972,222,3,61
1.6899580771959407E-6,8217,2256,149.99886,94.57792380647973,251,3,14
1.688272438988349E-6,8216,4166,130.79915,61.0923750190505,281,3,15
1.6839985020598642E-6,8215,251,170.39854,49.35734578878027,400,3,14
1.682561533448311E-6,8214,5153,121.199295,19.762949288778355,299,3,33
1.6784424885906334E-6,8213,4704,125.59923,59.4691553279544,950,2,1
1.681692727846669E-6,8212,4025,132.59912,2.4000500303162697,708,1,11
1.6839236802858046E-6,8211,2568,147.59889,43.23351378134014,70,2,92
1.6799619989822198E-6,8210,5294,120.19931,39.96399607849536,151,2,26
1.6828461182302462E-6,8209,3244,140.799,35.86681560437343,118,2,48
1.6799649940988226E-6,8208,1091,162.59866,68.22552866927185,207,3,27
1.6720563528902362E-6,8207,1353,160.1987,17.686091930769624,562,3,19
1.6664529059109852E-6,8206,6687,106.59952,1.6844494260684546,715,3,57
1.6710581635294527E-6,8205,7255,101.1996,30.731168005342383,372,2,7
1.6671010607208103E-6,8204,6062,112.99942,99.0475188483849,61,2,43
1.6725994616802921E-6,8203,7923,94.5997,42.742136190962526,321,3,12
1.662746812936909E-6,8202,1835,155.79877,19.791326419879756,130,2,76
1.6590354507005E-6,8201,1686,157.39874,33.605789333097924,135,2,47
1.657460129387177E-6,8200,6265,111.399445,22.30105768694981,122,2,54
1.6536078745098256E-6,8199,6159,112.59943,9.850102860385222,287,3,58
1.652193012091459E-6,8198,2473,149.79886,81.17731101928212,608,2,2
1.6482458816467489E-6,8197,2725,147.3989,96.22174963532635,809,2,1
1.6471082182759225E-6,8196,7026,104.199554,79.13062665569515,59,3,96
1.6397719804434605E-6,8195,7734,97.19966,81.53908165654876,53,2,54
1.6361251307591135E-6,8194,3412,140.599,39.63315980858183,280,3,24
1.6396617362259927E-6,8193,2136,153.7988,36.43316042088897,768,1,1
1.6344480200638643E-6,8192,8121,93.59972,32.55028205018403,273,2,10
1.6372255121441845E-6,8191,549,169.99855,60.81283144176843,450,2,5
1.6364948968628418E-6,8190,2020,155.19878,51.17989388113554,36,1,88
1.6398140894344463E-6,8189,1983,155.59877,60.14895154251499,68,2,78
1.6395011007614779E-6,8188,3042,144.99893,90.34625063450609,497,3,5
1.6422550596340468E-6,8187,5648,118.99933,38.83369118436701,705,3,5
1.6399885525835476E-6,8186,3625,139.19902,58.12528884386754,150,3,43
1.6450438008310486E-6,8185,7304,102.59958,47.70020660608626,103,1,13
1.6430244495456445E-6,8184,2402,151.79883,43.59907129118041,148,2,32
1.6457045645072838E-6,8183,2059,155.59877,75.28545439209623,516,3,6
1.6384294062854416E-6,8182,2963,146.39891,44.76736526081475,139,3,63
1.6443044886749572E-6,8181,8472,91.19975,94.4432202084359,52,3,87
1.6398347037178381E-6,8180,3308,142.99896,51.1570327576613,469,3,9
1.6456140040560847E-6,8179,9516,80.99991,26.594524336303568,64,1,34
1.6319819043972496E-6,8178,935,167.1986,24.815493009886325,188,2,40
1.6365075431149103E-6,8177,9641,79.79993,29.718077090342366,89,3,92
1.6313498894034742E-6,8176,965,167.1986,34.011400813852156,160,1,15
1.6350869281281352E-6,8175,2883,147.99889,40.709615530718416,454,3,12
1.6201671869829141E-6,8174,2985,146.9989,0.38161110950903065,738,1,46
1.6230126838762991E-6,8173,7942,97.39966,2.803770329955252,221,1,41
1.6217843322002272E-6,8172,2537,151.59883,92.3577222827511,138,3,36
1.6257311129484736E-6,8171,6419,112.79942,6.1094728433825445,307,2,41
1.620874920861208E-6,8170,5400,122.99927,9.325131971749352,283,2,36
1.6210924930645221E-6,8169,5675,120.599304,11.959277741553127,890,3,10
1.6201915302525576E-6,8168,7281,104.39955,7.668435785467158,125,1,46
1.6253224877888906E-6,8167,9105,86.19983,0.16715165764636408,508,1,81
1.625063002155143E-6,8166,7986,97.39966,18.02816970940196,706,2,4
1.6290397746545367E-6,8165,5658,120.9993,28.692349194454547,458,3,13
1.6207706558180409E-6,8164,2069,157.39874,44.9899023028613,261,3,27
1.612569437288037E-6,8163,8972,87.9998,2.880333784183266,574,2,23
1.6184299838048059E-6,8162,8861,89.39978,50.76392143973481,685,3,3
1.6151959219747767E-6,8161,4000,138.19904,7.35679280141992,428,3,51
1.6194257176623413E-6,8160,5613,122.19928,45.02405672659267,39,1,69
1.6138143477332652E-6,8159,321,175.39847,32.6792295195686,54,1,81
1.6170617502967634E-6,8158,5207,126.399216,43.75157449767003,611,2,3
1.6136713522920825E-6,8157,2530,153.3988,21.288105163205238,158,2,54
1.6174098632204162E-6,8156,8736,91.19975,41.65551967838508,505,3,6
1.6168840426279691E-6,8155,9061,87.9998,12.149737729378508,500,3,17
1.6136143237774543E-6,8154,4401,134.79909,47.277243979250656,150,3,50
1.6099245563622008E-6,8153,9481,83.99986,18.577414039778716,235,3,35
1.610996733866454E-6,8152,3590,143.19896,78.07353735806277,128,2,23
1.6105786370603735E-6,8151,2720,151.99883,72.36684163599388,94,3,78
1.6140200730789526E-6,8150,5165,127.5992,61.808679930183644,161,3,34
1.6125299518834E-6,8149,4088,138.39903,6.306619177905363,189,2,100
1.6157627168014856E-6,8148,3315,146.39891,50.98581249340066,289,2,10
1.6152713566490683E-6,8147,3086,148.79887,4.037762150545203,359,2,60
1.6176697148593554E-6,8146,1660,163.39865,39.58807093936138,93,1,29
1.6174732623040556E-6,8145,5989,119.79932,66.22157099988966,591,2,2
1.620501333405759E-6,8144,9784,81.7999,70.27694319427764,79,3,55
1.6171987427299131E-6,8143,1167,168.59857,66.21815474045161,135,3,55
1.6227119408971066E-6,8142,8371,96.19968,66.08685830449093,788,3,2
1.61078243200218E-6,8141,8797,91.99974,5.449511772029206,587,3,27
1.6156372718461584E-6,8140,7372,106.59952,81.17664326151625,92,3,51
1.6143514783535377E-6,8139,8120,98.99963,97.03923088915003,61,2,39
1.6157358318206694E-6,8138,7910,101.1996,25.37289054839502,289,3,24
1.6152138634332067E-6,8137,5700,123.39926,11.230639979305531,155,2,75
1.6191160497061332E-6,8136,9490,85.59984,5.927338636772598,430,3,37
1.6165991575501821E-6,8135,4992,130.79915,46.7302185815765,935,3,3
1.6197870987674622E-6,8134,8276,97.99965,9.359819165594223,416,1,6
1.6137402570101349E-6,8133,6292,117.999344,30.103668543033933,237,2,17
1.619378327001142E-6,8132,8413,96.79967,20.49057123256626,137,2,43
1.616229749035776E-6,8131,1977,161.59868,28.894527268947915,669,2,5
1.618137756306931E-6,8130,3158,149.79886,20.365406300471285,127,2,75
1.6175238794474901E-6,8129,5101,130.19916,21.80525930384812,256,2,22
1.6207463684232423E-6,8128,4985,131.59914,26.859003013598347,505,3,13
1.619539581634465E-6,8127,8696,94.399704,83.69825530068647,250,2,5
1.6242964798528788E-6,8126,9557,85.99983,51.88267852034592,117,2,22
1.6185195335129234E-6,8125,5397,127.5992,9.884141564350653,84,1,82
1.6217456780257256E-6,8124,5988,121.99928,30.341819731283056,447,3,13
1.6096585945332034E-6,8123,9774,83.99986,0.15121121772616652,553,1,75
1.6031254848311065E-6,8122,4228,139.79901,32.29126793674706,51,1,71
1.5988917182680574E-6,8121,1598,166.3986,3.358925982566149,330,2,88
1.5968134987574412E-6,8120,32,182.39836,3.743940900700733,592,3,72
1.5870391481198869E-6,8119,1444,168.19858,92.54388759477173,33,1,67
1.5842585286891612E-6,8118,2929,153.3988,3.5904704892264134,740,1,9
1.5832195930359171E-6,8117,2743,155.19878,13.487707616317996,842,3,13
1.5860602580484734E-6,8116,5956,123.199265,68.01923965585654,253,2,8
1.5837101493921983E-6,8115,4933,133.39911,56.0500152401454,506,3,7
